metric_name;metric_type;interval;unit_name;per_unit_name;description;orientation;integration;short_name
icinga.stats.max_service_check_latency;gauge;;latency;seconds;Maximal service check latency;0;icingastats;ici sta max_service_check_latency
icinga.stats.average_service_check_latency;gauge;;latency;seconds;Avarage service check latency;0;icingastats;ici sta average_service_check_latency
icinga.stats.min_host_check_execution_time;gauge;;exectime;seconds;Minimal host check execution time;0;icingastats;ici sta min_host_check_execution_time
icinga.stats.max_host_check_execution_time;gauge;;exectime;seconds;Maximal host check execution time;0;icingastats;ici sta max_host_check_execution_time
icinga.stats.average_host_check_execution_time;gauge;;exectime;seconds;Avarage host check execution time;0;icingastats;ici sta average_host_check_execution_time
icinga.stats.min_host_check_latency;gauge;;latency;seconds;Minimal host check latency;0;icingastats;ici sta min_host_check_latency
icinga.stats.max_host_check_latency;gauge;;latency;seconds;Maximal host check latency;0;icingastats;ici sta max_host_check_latency
icinga.stats.average_host_check_latency;gauge;;latency;seconds;Avarage host check latency;0;icingastats;ici sta average_host_check_latency
icinga.stats.total_active_host_checks;gauge;;host;host;Total active host checks;0;icingastats;ici sta tot active_host_checks
icinga.stats.total_passive_host_checks;gauge;;host;host;Total passive host checks;0;icingastats;ici sta tot passive_host_checks
icinga.stats.total_disabled_host_checks;gauge;;host;host;Total disabled host checks;0;icingastats;ici sta tot disabled_host_checks
icinga.stats.total_active_host_checks_with_passive_disabled;gauge;;host;host;Total active host checks with passive disabled;0;icingastats;ici sta tot active_host_checks_with_passive_disabled
icinga.stats.total_active_service_checks;gauge;;service;service;Total active service checks;0;icingastats;ici sta tot active_service_checks
icinga.stats.total_passive_service_checks;gauge;;service;service;Total passive service checks;0;icingastats;ici sta tot passive_service_checks
icinga.stats.total_disabled_service_checks;gauge;;service;service;Total disabled service checks;0;icingastats;ici sta tot disabled_service_checks
icinga.stats.total_active_service_checks_with_passive_disabled';gauge;;service;service;Total active host service with passive disabled;0;icingastats;ici sta tot active_service_checks_with_passive_disabled
