short_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
lightbend.actors.remote_serialization_time.min,gauge,,nanosecond,,Minimum time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm min
lightbend.actors.remote_serialization_time.p75,gauge,,nanosecond,,75th percentile time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm p75
lightbend.actors.remote_serialization_time.p95,gauge,,nanosecond,,95th percentile time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm p95
lightbend.actors.remote_serialization_time.p98,gauge,,nanosecond,,98th percentile time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm p98
lightbend.actors.remote_serialization_time.p99,gauge,,nanosecond,,99th percentile time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm p99
lightbend.actors.remote_serialization_time.p999,gauge,,nanosecond,,99.9th percentile time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm p999
lightbend.actors.remote_serialization_time.stddev,gauge,,nanosecond,,Standard deviation for the time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm stdev
lightbend.actors.remote_deserialization_time.max,gauge,,nanosecond,,Maximum time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm max
lightbend.actors.remote_deserialization_time.mean,gauge,,nanosecond,,Average time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm avg
lightbend.actors.remote_deserialization_time.median,gauge,,nanosecond,,Median time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm med
lightbend.actors.remote_deserialization_time.min,gauge,,nanosecond,,Minimum time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm min
lightbend.actors.remote_deserialization_time.p75,gauge,,nanosecond,,75th percentile time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm p75
lightbend.actors.remote_deserialization_time.p95,gauge,,nanosecond,,95th percentile time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm p95
lightbend.actors.remote_deserialization_time.p98,gauge,,nanosecond,,98th percentile time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm p98
lightbend.actors.remote_deserialization_time.p99,gauge,,nanosecond,,99th percentile time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm p99
lightbend.actors.remote_deserialization_time.p999,gauge,,nanosecond,,99.9th percentile time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm p999
